Date,Start(ET),Visitor,VisitorPts,Home,HomePts,OT,Atten,Notes
"Sun, Nov 15, 2015",7:00p,Boston Celtics,100,Oklahoma City Thunder,85,,"18,203",
"Sun, Nov 15, 2015",9:00p,Toronto Raptors,101,Sacramento Kings,107,,"17,006",
"Mon, Nov 16, 2015",8:00p,Indiana Pacers,95,Chicago Bulls,96,,"21,660",
"Mon, Nov 16, 2015",8:00p,Boston Celtics,111,Houston Rockets,95,,"17,005",
"Mon, Nov 16, 2015",8:00p,Oklahoma City Thunder,114,Memphis Grizzlies,122,,"17,270",
"Mon, Nov 16, 2015",7:00p,Dallas Mavericks,92,Philadelphia 76ers,86,,"11,555",
"Mon, Nov 16, 2015",9:00p,Los Angeles Lakers,101,Phoenix Suns,120,,"18,055",
"Mon, Nov 16, 2015",8:30p,Portland Trail Blazers,80,San Antonio Spurs,93,,"18,418",
"Tue, Nov 17, 2015",7:30p,Atlanta Hawks,88,Brooklyn Nets,90,,"12,241",
"Tue, Nov 17, 2015",7:30p,Cleveland Cavaliers,99,Detroit Pistons,104,,"18,442",
"Tue, Nov 17, 2015",10:30p,Toronto Raptors,110,Golden State Warriors,115,,"19,596",
"Tue, Nov 17, 2015",7:30p,Minnesota Timberwolves,103,Miami Heat,91,,"19,600",
"Tue, Nov 17, 2015",8:00p,Denver Nuggets,115,New Orleans Pelicans,98,,"17,269",
"Tue, Nov 17, 2015",7:30p,Charlotte Hornets,94,New York Knicks,102,,"19,812",
"Tue, Nov 17, 2015",7:00p,Milwaukee Bucks,86,Washington Wizards,115,,"15,485",
"Wed, Nov 18, 2015",8:00p,Sacramento Kings,97,Atlanta Hawks,103,,"13,008",
"Wed, Nov 18, 2015",7:30p,Dallas Mavericks,106,Boston Celtics,102,,"17,262",
"Wed, Nov 18, 2015",7:00p,Brooklyn Nets,111,Charlotte Hornets,116,,"14,040",
"Wed, Nov 18, 2015",8:00p,Portland Trail Blazers,103,Houston Rockets,108,OT,"17,107",
"Wed, Nov 18, 2015",8:00p,New Orleans Pelicans,103,Oklahoma City Thunder,110,,"18,203",
"Wed, Nov 18, 2015",7:00p,Minnesota Timberwolves,101,Orlando Magic,104,OT,"16,048",
"Wed, Nov 18, 2015",7:00p,Indiana Pacers,112,Philadelphia 76ers,85,,"11,080",
"Wed, Nov 18, 2015",10:30p,Chicago Bulls,103,Phoenix Suns,97,,"17,377",
"Wed, Nov 18, 2015",8:30p,Denver Nuggets,98,San Antonio Spurs,109,,"18,418",
"Wed, Nov 18, 2015",9:00p,Toronto Raptors,89,Utah Jazz,93,,"18,741",
"Thu, Nov 19, 2015",8:00p,Milwaukee Bucks,100,Cleveland Cavaliers,115,,"20,562",
"Thu, Nov 19, 2015",10:30p,Golden State Warriors,124,Los Angeles Clippers,117,,"19,528",
"Thu, Nov 19, 2015",7:30p,Sacramento Kings,109,Miami Heat,116,,"19,600",
"Fri, Nov 20, 2015",7:30p,Brooklyn Nets,95,Boston Celtics,120,,"18,361",
"Fri, Nov 20, 2015",7:00p,Philadelphia 76ers,88,Charlotte Hornets,113,,"17,926",
"Fri, Nov 20, 2015",8:30p,Utah Jazz,93,Dallas Mavericks,102,,"20,028",
"Fri, Nov 20, 2015",9:00p,Phoenix Suns,114,Denver Nuggets,107,,"12,264",
"Fri, Nov 20, 2015",10:30p,Chicago Bulls,94,Golden State Warriors,106,,"19,596",
