attendance,description,eventPhase,kc,matchId,outcome,event_title,venue_name,venue_city,venue_country,team_1,team_2,team_1_score,team_2_score,local_time
0.0,Match 14,Pool C,,26702.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Canada 7s,France 7s,21.0,14.0,2018-11-29 22:15:00
0.0,Match 13,Pool C,,26701.0,B,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Spain 7s,Fiji 7s,5.0,17.0,2018-11-29 21:53:00
0.0,Match 12,Pool A,,26700.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,New Zealand 7s,Russia 7s,29.0,12.0,2018-11-29 20:46:00
0.0,Match 11,Pool A,,26699.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Ireland 7s,Kenya 7s,27.0,12.0,2018-11-29 20:24:00
0.0,Match 10,Pool B,,26698.0,B,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,USA 7s,England 7s,12.0,14.0,2018-11-29 20:02:00
0.0,Match 9,Pool B,,26697.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Australia 7s,China 7s,33.0,5.0,2018-11-29 19:40:00
0.0,Match 8,Pool C,,26696.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Canada 7s,Spain 7s,29.0,7.0,2018-11-29 19:18:00
0.0,Match 7,Pool C,,26695.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,France 7s,Fiji 7s,29.0,15.0,2018-11-29 18:56:00
0.0,Match 6,Pool A,,26694.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,New Zealand 7s,Kenya 7s,34.0,7.0,2018-11-29 17:50:00
0.0,Match 5,Pool A,,26693.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Ireland 7s,Russia 7s,26.0,0.0,2018-11-29 17:28:00
0.0,Match 4,Pool B,,26692.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,USA 7s,China 7s,31.0,0.0,2018-11-29 17:06:00
0.0,Match 3,Pool B,,26691.0,B,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Australia 7s,England 7s,12.0,26.0,2018-11-29 16:44:00
0.0,Match 2,Pool C,,26690.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Canada 7s,Fiji 7s,38.0,7.0,2018-11-29 16:22:00
0.0,Match 1,Pool C,,26689.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,France 7s,Spain 7s,29.0,0.0,2018-11-29 16:00:00
0.0,,,,26520.0,B,2018 Women's Internationals,Scotstoun Stadium,Glasgow,Scotland,Scotland,Canada,25.0,28.0,2018-11-27 19:00:00
